"movies_name","movies_url","movies_IMAX","movies_rating","movies_character_name","movies_character_actor"
"The Shawshank Redemption","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Shawshank%20Redemption","06:00 PM","9 . 2","Andy Dufresne","Tim Robbins"
"The Shawshank Redemption","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Shawshank%20Redemption","06:00 PM","9 . 2","Ellis Boyd 'Red' Redding","Morgan Freeman"
"The Shawshank Redemption","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Shawshank%20Redemption","06:00 PM","9 . 2","Warden Norton","Bob Gunton"
"The Shawshank Redemption","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Shawshank%20Redemption","06:00 PM","9 . 2","Heywood","William Sadler"
"The Shawshank Redemption","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Shawshank%20Redemption","06:00 PM","9 . 2","Captain Hadley","Clancy Brown"
"The Shawshank Redemption","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Shawshank%20Redemption","06:00 PM","9 . 2","Tommy","Gil Bellows"
"The Shawshank Redemption","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Shawshank%20Redemption","06:00 PM","9 . 2","Bogs Diamond","Mark Rolston"
"The Shawshank Redemption","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Shawshank%20Redemption","06:00 PM","9 . 2","Brooks Hatlen","James Whitmore"
"The Shawshank Redemption","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Shawshank%20Redemption","06:00 PM","9 . 2","1946 D.A.","Jeffrey DeMunn"
"The Shawshank Redemption","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Shawshank%20Redemption","06:00 PM","9 . 2","Skeet","Larry Brandenburg"
"The Shawshank Redemption","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Shawshank%20Redemption","06:00 PM","9 . 2","Jigger","Neil Giuntoli"
"The Shawshank Redemption","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Shawshank%20Redemption","06:00 PM","9 . 2","Floyd","Brian Libby"
"The Shawshank Redemption","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Shawshank%20Redemption","06:00 PM","9 . 2","Snooze","David Proval"
"The Shawshank Redemption","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Shawshank%20Redemption","06:00 PM","9 . 2","Ernie","Joseph Ragno"
"The Shawshank Redemption","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Shawshank%20Redemption","06:00 PM","9 . 2","Guard Mert","Jude Ciccolella"
"Schindler's List","https://www.parsehub.com/sandbox/moviedetails?movie=Schindler%27s%20List","06:15 PM","8 . 9","Oskar Schindler","Liam Neeson"
"Schindler's List","https://www.parsehub.com/sandbox/moviedetails?movie=Schindler%27s%20List","06:15 PM","8 . 9","Itzhak Stern","Ben Kingsley"
"Schindler's List","https://www.parsehub.com/sandbox/moviedetails?movie=Schindler%27s%20List","06:15 PM","8 . 9","Amon Goeth","Ralph Fiennes"
"Schindler's List","https://www.parsehub.com/sandbox/moviedetails?movie=Schindler%27s%20List","06:15 PM","8 . 9","Emilie Schindler","Caroline Goodall"
"Schindler's List","https://www.parsehub.com/sandbox/moviedetails?movie=Schindler%27s%20List","06:15 PM","8 . 9","Poldek Pfefferberg (as Jonathan Sagalle)","Jonathan Sagall"
"Schindler's List","https://www.parsehub.com/sandbox/moviedetails?movie=Schindler%27s%20List","06:15 PM","8 . 9","Helen Hirsch","Embeth Davidtz"
"Schindler's List","https://www.parsehub.com/sandbox/moviedetails?movie=Schindler%27s%20List","06:15 PM","8 . 9","Wiktoria Klonowska (as Malgoscha Gebel)","Malgorzata Gebel"
"Schindler's List","https://www.parsehub.com/sandbox/moviedetails?movie=Schindler%27s%20List","06:15 PM","8 . 9","Wilek Chilowicz (as Shmulik Levy)","Shmuel Levy"
"Schindler's List","https://www.parsehub.com/sandbox/moviedetails?movie=Schindler%27s%20List","06:15 PM","8 . 9","Marcel Goldberg","Mark Ivanir"
"Schindler's List","https://www.parsehub.com/sandbox/moviedetails?movie=Schindler%27s%20List","06:15 PM","8 . 9","Ingrid (as Beatrice Macola)","B\u00e9atrice Macola"
"Schindler's List","https://www.parsehub.com/sandbox/moviedetails?movie=Schindler%27s%20List","06:15 PM","8 . 9","Julian Scherner","Andrzej Seweryn"
"Schindler's List","https://www.parsehub.com/sandbox/moviedetails?movie=Schindler%27s%20List","06:15 PM","8 . 9","Rolf Czurda (as Friedrich Von Thun)","Friedrich von Thun"
"Schindler's List","https://www.parsehub.com/sandbox/moviedetails?movie=Schindler%27s%20List","06:15 PM","8 . 9","Herman Toffel","Krzysztof Luft"
"Schindler's List","https://www.parsehub.com/sandbox/moviedetails?movie=Schindler%27s%20List","06:15 PM","8 . 9","Leo John","Harry Nehring"
"Schindler's List","https://www.parsehub.com/sandbox/moviedetails?movie=Schindler%27s%20List","06:15 PM","8 . 9","Albert Hujar","Norbert Weisser"
"The Godfather","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Godfather","06:30 PM","9 . 2","Don Vito Corleone","Marlon Brando"
"The Godfather","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Godfather","06:30 PM","9 . 2","Michael Corleone","Al Pacino"
"The Godfather","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Godfather","06:30 PM","9 . 2","Sonny Corleone","James Caan"
"The Godfather","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Godfather","06:30 PM","9 . 2","Clemenza (as Richard Castellano)","Richard S. Castellano"
"The Godfather","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Godfather","06:30 PM","9 . 2","Tom Hagen","Robert Duvall"
"The Godfather","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Godfather","06:30 PM","9 . 2","Capt. McCluskey","Sterling Hayden"
"The Godfather","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Godfather","06:30 PM","9 . 2","Jack Woltz","John Marley"
"The Godfather","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Godfather","06:30 PM","9 . 2","Barzini","Richard Conte"
"The Godfather","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Godfather","06:30 PM","9 . 2","Sollozzo","Al Lettieri"
"The Godfather","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Godfather","06:30 PM","9 . 2","Kay Adams","Diane Keaton"
"The Godfather","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Godfather","06:30 PM","9 . 2","Tessio","Abe Vigoda"
"The Godfather","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Godfather","06:30 PM","9 . 2","Connie","Talia Shire"
"The Godfather","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Godfather","06:30 PM","9 . 2","Carlo","Gianni Russo"
"The Godfather","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Godfather","06:30 PM","9 . 2","Fredo","John Cazale"
"The Godfather","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Godfather","06:30 PM","9 . 2","Cuneo","Rudy Bond"
"The Godfather: Part II","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Godfather:%20Part%20II","06:45 PM","9 . 0","Michael","Al Pacino"
"The Godfather: Part II","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Godfather:%20Part%20II","06:45 PM","9 . 0","Tom Hagen","Robert Duvall"
"The Godfather: Part II","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Godfather:%20Part%20II","06:45 PM","9 . 0","Kay","Diane Keaton"
"The Godfather: Part II","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Godfather:%20Part%20II","06:45 PM","9 . 0","Vito Corleone (as Robert DeNiro)","Robert De Niro"
"The Godfather: Part II","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Godfather:%20Part%20II","06:45 PM","9 . 0","Fredo Corleone","John Cazale"
"The Godfather: Part II","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Godfather:%20Part%20II","06:45 PM","9 . 0","Connie Corleone","Talia Shire"
"The Godfather: Part II","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Godfather:%20Part%20II","06:45 PM","9 . 0","Hyman Roth","Lee Strasberg"
"The Godfather: Part II","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Godfather:%20Part%20II","06:45 PM","9 . 0","Frankie Pentangeli","Michael V. Gazzo"
"The Godfather: Part II","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Godfather:%20Part%20II","06:45 PM","9 . 0","Senator Pat Geary","G.D. Spradlin"
"The Godfather: Part II","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Godfather:%20Part%20II","06:45 PM","9 . 0","Al Neri","Richard Bright"
"The Godfather: Part II","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Godfather:%20Part%20II","06:45 PM","9 . 0","Fanucci (as Gaston Moschin)","Gastone Moschin"
"The Godfather: Part II","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Godfather:%20Part%20II","06:45 PM","9 . 0","Rocco Lampone","Tom Rosqui"
"The Godfather: Part II","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Godfather:%20Part%20II","06:45 PM","9 . 0","Young Clemenza (as B. Kirby Jr.)","Bruno Kirby"
"The Godfather: Part II","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Godfather:%20Part%20II","06:45 PM","9 . 0","Genco","Frank Sivero"
"The Godfather: Part II","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Godfather:%20Part%20II","06:45 PM","9 . 0","Young Mama Corleone (as Francesca de Sapio)","Francesca De Sapio"
"The Dark Knight","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Dark%20Knight","07:00 PM","8 . 9","Bruce Wayne","Christian Bale"
"The Dark Knight","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Dark%20Knight","07:00 PM","8 . 9","Joker","Heath Ledger"
"The Dark Knight","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Dark%20Knight","07:00 PM","8 . 9","Harvey Dent","Aaron Eckhart"
"The Dark Knight","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Dark%20Knight","07:00 PM","8 . 9","Alfred","Michael Caine"
"The Dark Knight","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Dark%20Knight","07:00 PM","8 . 9","Rachel","Maggie Gyllenhaal"
"The Dark Knight","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Dark%20Knight","07:00 PM","8 . 9","Gordon","Gary Oldman"
"The Dark Knight","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Dark%20Knight","07:00 PM","8 . 9","Lucius Fox","Morgan Freeman"
"The Dark Knight","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Dark%20Knight","07:00 PM","8 . 9","Ramirez","Monique Gabriela Curnen"
"The Dark Knight","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Dark%20Knight","07:00 PM","8 . 9","Wuertz","Ron Dean"
"The Dark Knight","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Dark%20Knight","07:00 PM","8 . 9","Scarecrow","Cillian Murphy"
"The Dark Knight","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Dark%20Knight","07:00 PM","8 . 9","Lau","Chin Han"
"The Dark Knight","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Dark%20Knight","07:00 PM","8 . 9","Mayor","Nestor Carbonell"
"The Dark Knight","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Dark%20Knight","07:00 PM","8 . 9","Maroni","Eric Roberts"
"The Dark Knight","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Dark%20Knight","07:00 PM","8 . 9","Chechen","Ritchie Coster"
"The Dark Knight","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Dark%20Knight","07:00 PM","8 . 9","Mike Engel","Anthony Michael Hall"
"Pulp Fiction","https://www.parsehub.com/sandbox/moviedetails?movie=Pulp%20Fiction","07:15 PM","8 . 9","Pumpkin / Ringo","Tim Roth"
"Pulp Fiction","https://www.parsehub.com/sandbox/moviedetails?movie=Pulp%20Fiction","07:15 PM","8 . 9","Honey Bunny / Yolanda","Amanda Plummer"
"Pulp Fiction","https://www.parsehub.com/sandbox/moviedetails?movie=Pulp%20Fiction","07:15 PM","8 . 9","Waitress","Laura Lovelace"
"Pulp Fiction","https://www.parsehub.com/sandbox/moviedetails?movie=Pulp%20Fiction","07:15 PM","8 . 9","Vincent Vega","John Travolta"
"Pulp Fiction","https://www.parsehub.com/sandbox/moviedetails?movie=Pulp%20Fiction","07:15 PM","8 . 9","Jules Winnfield","Samuel L. Jackson"
"Pulp Fiction","https://www.parsehub.com/sandbox/moviedetails?movie=Pulp%20Fiction","07:15 PM","8 . 9","Marvin","Phil LaMarr"
"Pulp Fiction","https://www.parsehub.com/sandbox/moviedetails?movie=Pulp%20Fiction","07:15 PM","8 . 9","Brett","Frank Whaley"
"Pulp Fiction","https://www.parsehub.com/sandbox/moviedetails?movie=Pulp%20Fiction","07:15 PM","8 . 9","Roger","Burr Steers"
"Pulp Fiction","https://www.parsehub.com/sandbox/moviedetails?movie=Pulp%20Fiction","07:15 PM","8 . 9","Butch Coolidge","Bruce Willis"
"Pulp Fiction","https://www.parsehub.com/sandbox/moviedetails?movie=Pulp%20Fiction","07:15 PM","8 . 9","Marsellus Wallace","Ving Rhames"
"Pulp Fiction","https://www.parsehub.com/sandbox/moviedetails?movie=Pulp%20Fiction","07:15 PM","8 . 9","Paul / English Bob","Paul Calderon"
"Pulp Fiction","https://www.parsehub.com/sandbox/moviedetails?movie=Pulp%20Fiction","07:15 PM","8 . 9","Trudi","Bronagh Gallagher"
"Pulp Fiction","https://www.parsehub.com/sandbox/moviedetails?movie=Pulp%20Fiction","07:15 PM","8 . 9","Jody","Rosanna Arquette"
"Pulp Fiction","https://www.parsehub.com/sandbox/moviedetails?movie=Pulp%20Fiction","07:15 PM","8 . 9","Lance","Eric Stoltz"
"Pulp Fiction","https://www.parsehub.com/sandbox/moviedetails?movie=Pulp%20Fiction","07:15 PM","8 . 9","Mia Wallace","Uma Thurman"
"The Good, the Bad and the Ugly","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Good,%20the%20Bad%20and%20the%20Ugly","07:30 PM","8 . 9","Tuco","Eli Wallach"
"The Good, the Bad and the Ugly","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Good,%20the%20Bad%20and%20the%20Ugly","07:30 PM","8 . 9","Blondie","Clint Eastwood"
"The Good, the Bad and the Ugly","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Good,%20the%20Bad%20and%20the%20Ugly","07:30 PM","8 . 9","Sentenza / Angel Eyes","Lee Van Cleef"
"The Good, the Bad and the Ugly","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Good,%20the%20Bad%20and%20the%20Ugly","07:30 PM","8 . 9","Alcoholic Union Captain (as Aldo Giuffre')","Aldo Giuffr\u00e8"
"The Good, the Bad and the Ugly","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Good,%20the%20Bad%20and%20the%20Ugly","07:30 PM","8 . 9","Father Pablo Ramirez","Luigi Pistilli"
"The Good, the Bad and the Ugly","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Good,%20the%20Bad%20and%20the%20Ugly","07:30 PM","8 . 9","Maria","Rada Rassimov"
"The Good, the Bad and the Ugly","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Good,%20the%20Bad%20and%20the%20Ugly","07:30 PM","8 . 9","Storekeeper","Enzo Petito"
"The Good, the Bad and the Ugly","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Good,%20the%20Bad%20and%20the%20Ugly","07:30 PM","8 . 9","Mexican Peon","Claudio Scarchilli"
"The Good, the Bad and the Ugly","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Good,%20the%20Bad%20and%20the%20Ugly","07:30 PM","8 . 9","Sheriff (as John Bartho)","John Bartha"
"The Good, the Bad and the Ugly","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Good,%20the%20Bad%20and%20the%20Ugly","07:30 PM","8 . 9","Baker","Livio Lorenzon"
"The Good, the Bad and the Ugly","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Good,%20the%20Bad%20and%20the%20Ugly","07:30 PM","8 . 9","Jackson / Bill Carson","Antonio Casale"
"The Good, the Bad and the Ugly","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Good,%20the%20Bad%20and%20the%20Ugly","07:30 PM","8 . 9","Mexican Peon","Sandro Scarchilli"
"The Good, the Bad and the Ugly","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Good,%20the%20Bad%20and%20the%20Ugly","07:30 PM","8 . 9","Member of Angel Eyes' Gang","Benito Stefanelli"
"The Good, the Bad and the Ugly","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Good,%20the%20Bad%20and%20the%20Ugly","07:30 PM","8 . 9","Monk","Angelo Novi"
"The Good, the Bad and the Ugly","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Good,%20the%20Bad%20and%20the%20Ugly","07:30 PM","8 . 9","Stevens","Antonio Casas"
"12 Angry Men","https://www.parsehub.com/sandbox/moviedetails?movie=12%20Angry%20Men","07:45 PM","8 . 9","Juror #1","Martin Balsam"
"12 Angry Men","https://www.parsehub.com/sandbox/moviedetails?movie=12%20Angry%20Men","07:45 PM","8 . 9","Juror #2","John Fiedler"
"12 Angry Men","https://www.parsehub.com/sandbox/moviedetails?movie=12%20Angry%20Men","07:45 PM","8 . 9","Juror #3","Lee J. Cobb"
"12 Angry Men","https://www.parsehub.com/sandbox/moviedetails?movie=12%20Angry%20Men","07:45 PM","8 . 9","Juror #4","E.G. Marshall"
"12 Angry Men","https://www.parsehub.com/sandbox/moviedetails?movie=12%20Angry%20Men","07:45 PM","8 . 9","Juror #5","Jack Klugman"
"12 Angry Men","https://www.parsehub.com/sandbox/moviedetails?movie=12%20Angry%20Men","07:45 PM","8 . 9","Juror #6","Edward Binns"
"12 Angry Men","https://www.parsehub.com/sandbox/moviedetails?movie=12%20Angry%20Men","07:45 PM","8 . 9","Juror #7","Jack Warden"
"12 Angry Men","https://www.parsehub.com/sandbox/moviedetails?movie=12%20Angry%20Men","07:45 PM","8 . 9","Juror #8","Henry Fonda"
"12 Angry Men","https://www.parsehub.com/sandbox/moviedetails?movie=12%20Angry%20Men","07:45 PM","8 . 9","Juror #9","Joseph Sweeney"
"12 Angry Men","https://www.parsehub.com/sandbox/moviedetails?movie=12%20Angry%20Men","07:45 PM","8 . 9","Juror #10","Ed Begley"
"12 Angry Men","https://www.parsehub.com/sandbox/moviedetails?movie=12%20Angry%20Men","07:45 PM","8 . 9","Juror #11","George Voskovec"
"12 Angry Men","https://www.parsehub.com/sandbox/moviedetails?movie=12%20Angry%20Men","07:45 PM","8 . 9","Juror #12","Robert Webber"
"The Lord of the Rings: The Return of the King","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Lord%20of%20the%20Rings:%20The%20Return%20of%20the%20King","08:00 PM","8 . 9","Everard Proudfoot","Noel Appleby"
"The Lord of the Rings: The Return of the King","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Lord%20of%20the%20Rings:%20The%20Return%20of%20the%20King","08:00 PM","8 . 9","Elanor Gamgee","Alexandra Astin"
"The Lord of the Rings: The Return of the King","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Lord%20of%20the%20Rings:%20The%20Return%20of%20the%20King","08:00 PM","8 . 9","Sam","Sean Astin"
"The Lord of the Rings: The Return of the King","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Lord%20of%20the%20Rings:%20The%20Return%20of%20the%20King","08:00 PM","8 . 9","Gondorian Soldier 3","David Aston"
"The Lord of the Rings: The Return of the King","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Lord%20of%20the%20Rings:%20The%20Return%20of%20the%20King","08:00 PM","8 . 9","Madril","John Bach"
"The Lord of the Rings: The Return of the King","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Lord%20of%20the%20Rings:%20The%20Return%20of%20the%20King","08:00 PM","8 . 9","Boromir","Sean Bean"
"The Lord of the Rings: The Return of the King","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Lord%20of%20the%20Rings:%20The%20Return%20of%20the%20King","08:00 PM","8 . 9","Galadriel","Cate Blanchett"
"The Lord of the Rings: The Return of the King","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Lord%20of%20the%20Rings:%20The%20Return%20of%20the%20King","08:00 PM","8 . 9","Legolas","Orlando Bloom"
"The Lord of the Rings: The Return of the King","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Lord%20of%20the%20Rings:%20The%20Return%20of%20the%20King","08:00 PM","8 . 9","Pippin","Billy Boyd"
"The Lord of the Rings: The Return of the King","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Lord%20of%20the%20Rings:%20The%20Return%20of%20the%20King","08:00 PM","8 . 9","Eldarion","Sadwyn Brophy"
"The Lord of the Rings: The Return of the King","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Lord%20of%20the%20Rings:%20The%20Return%20of%20the%20King","08:00 PM","8 . 9","Damrod","Alistair Browning"
"The Lord of the Rings: The Return of the King","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Lord%20of%20the%20Rings:%20The%20Return%20of%20the%20King","08:00 PM","8 . 9","Celeborn","Marton Csokas"
"The Lord of the Rings: The Return of the King","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Lord%20of%20the%20Rings:%20The%20Return%20of%20the%20King","08:00 PM","8 . 9","Gondorian Soldier 1","Richard Edge"
"The Lord of the Rings: The Return of the King","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Lord%20of%20the%20Rings:%20The%20Return%20of%20the%20King","08:00 PM","8 . 9","Uruk 2","Jason Fitch"
"The Lord of the Rings: The Return of the King","https://www.parsehub.com/sandbox/moviedetails?movie=The%20Lord%20of%20the%20Rings:%20The%20Return%20of%20the%20King","08:00 PM","8 . 9","Theoden","Bernard Hill"
"Fight Club","https://www.parsehub.com/sandbox/moviedetails?movie=Fight%20Club","08:15 PM","8 . 8","The Narrator","Edward Norton"
"Fight Club","https://www.parsehub.com/sandbox/moviedetails?movie=Fight%20Club","08:15 PM","8 . 8","Tyler Durden","Brad Pitt"
"Fight Club","https://www.parsehub.com/sandbox/moviedetails?movie=Fight%20Club","08:15 PM","8 . 8","Marla Singer","Helena Bonham Carter"
"Fight Club","https://www.parsehub.com/sandbox/moviedetails?movie=Fight%20Club","08:15 PM","8 . 8","Robert 'Bob' Paulsen (as Meat Loaf Aday)","Meat Loaf"
"Fight Club","https://www.parsehub.com/sandbox/moviedetails?movie=Fight%20Club","08:15 PM","8 . 8","Richard Chesler","Zach Grenier"
"Fight Club","https://www.parsehub.com/sandbox/moviedetails?movie=Fight%20Club","08:15 PM","8 . 8","Intern","Richmond Arquette"
"Fight Club","https://www.parsehub.com/sandbox/moviedetails?movie=Fight%20Club","08:15 PM","8 . 8","Thomas","David Andrews"
"Fight Club","https://www.parsehub.com/sandbox/moviedetails?movie=Fight%20Club","08:15 PM","8 . 8","Group Leader","George Maguire"
"Fight Club","https://www.parsehub.com/sandbox/moviedetails?movie=Fight%20Club","08:15 PM","8 . 8","Weeping Woman","Eugenie Bondurant"
"Fight Club","https://www.parsehub.com/sandbox/moviedetails?movie=Fight%20Club","08:15 PM","8 . 8","Group Leader","Christina Cabot"
"Fight Club","https://www.parsehub.com/sandbox/moviedetails?movie=Fight%20Club","08:15 PM","8 . 8","Speaker","Sydney 'Big Dawg' Colston"
"Fight Club","https://www.parsehub.com/sandbox/moviedetails?movie=Fight%20Club","08:15 PM","8 . 8","Chloe","Rachel Singer"
"Fight Club","https://www.parsehub.com/sandbox/moviedetails?movie=Fight%20Club","08:15 PM","8 . 8","Airline Attendant","Christie Cronenweth"
"Fight Club","https://www.parsehub.com/sandbox/moviedetails?movie=Fight%20Club","08:15 PM","8 . 8","Inspector Bird (as Tim de Zarn)","Tim De Zarn"
"Fight Club","https://www.parsehub.com/sandbox/moviedetails?movie=Fight%20Club","08:15 PM","8 . 8","Inspector Dent","Ezra Buzzington"