"selction_name","selction_url","selction_selection1"
"The Shawshank Redemption","https://www.imdb.com/title/tt0111161/?ref_=adv_li_tt","Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency."
"The Godfather","https://www.imdb.com/title/tt0068646/?ref_=adv_li_tt","The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son."
"The Dark Knight","https://www.imdb.com/title/tt0468569/?ref_=adv_li_tt","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
"The Godfather: Part II","https://www.imdb.com/title/tt0071562/?ref_=adv_li_tt","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
"The Lord of the Rings: The Return of the King","https://www.imdb.com/title/tt0167260/?ref_=adv_li_tt","Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"Pulp Fiction","https://www.imdb.com/title/tt0110912/?ref_=adv_li_tt","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
"Schindler's List","https://www.imdb.com/title/tt0108052/?ref_=adv_li_tt","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
"12 Angry Men","https://www.imdb.com/title/tt0050083/?ref_=adv_li_tt","A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence."
"Inception","https://www.imdb.com/title/tt1375666/?ref_=adv_li_tt","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O."
"Fight Club","https://www.imdb.com/title/tt0137523/?ref_=adv_li_tt","An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more."
"The Lord of the Rings: The Fellowship of the Ring","https://www.imdb.com/title/tt0120737/?ref_=adv_li_tt","A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron."
"Forrest Gump","https://www.imdb.com/title/tt0109830/?ref_=adv_li_tt","The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate, and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
"The Good, the Bad and the Ugly","https://www.imdb.com/title/tt0060196/?ref_=adv_li_tt","A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery."
"The Lord of the Rings: The Two Towers","https://www.imdb.com/title/tt0167261/?ref_=adv_li_tt","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
"The Matrix","https://www.imdb.com/title/tt0133093/?ref_=adv_li_tt","A computer hacker learns from mysterious rebels about the true nature of his reality and his role in the war against its controllers."
"Goodfellas","https://www.imdb.com/title/tt0099685/?ref_=adv_li_tt","The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
"Star Wars: Episode V - The Empire Strikes Back","https://www.imdb.com/title/tt0080684/?ref_=adv_li_tt","After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy."
"One Flew Over the Cuckoo's Nest","https://www.imdb.com/title/tt0073486/?ref_=adv_li_tt","A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients."
"Harakiri","https://www.imdb.com/title/tt0056058/?ref_=adv_li_tt","When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
"Parasite","https://www.imdb.com/title/tt6751668/?ref_=adv_li_tt","A poor family, the Kims, con their way into becoming the servants of a rich family, the Parks. But their easy life gets complicated when their deception is threatened with exposure."
"Interstellar","https://www.imdb.com/title/tt0816692/?ref_=adv_li_tt","A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival."
"City of God","https://www.imdb.com/title/tt0317248/?ref_=adv_li_tt","In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
"Spirited Away","https://www.imdb.com/title/tt0245429/?ref_=adv_li_tt","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts."
"Saving Private Ryan","https://www.imdb.com/title/tt0120815/?ref_=adv_li_tt","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
"The Green Mile","https://www.imdb.com/title/tt0120689/?ref_=adv_li_tt","The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
"Life Is Beautiful","https://www.imdb.com/title/tt0118799/?ref_=adv_li_tt","When an open-minded Jewish librarian and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp."
"Se7en","https://www.imdb.com/title/tt0114369/?ref_=adv_li_tt","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
"The Silence of the Lambs","https://www.imdb.com/title/tt0102926/?ref_=adv_li_tt","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
"Star Wars: Episode IV - A New Hope","https://www.imdb.com/title/tt0076759/?ref_=adv_li_tt","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
"Seven Samurai","https://www.imdb.com/title/tt0047478/?ref_=adv_li_tt","A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves."
"It's a Wonderful Life","https://www.imdb.com/title/tt0038650/?ref_=adv_li_tt","An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed."
"Joker","https://www.imdb.com/title/tt7286456/?ref_=adv_li_tt","In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker."
"Avengers: Infinity War","https://www.imdb.com/title/tt4154756/?ref_=adv_li_tt","The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe."
"Whiplash","https://www.imdb.com/title/tt2582802/?ref_=adv_li_tt","A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential."
"The Intouchables","https://www.imdb.com/title/tt1675434/?ref_=adv_li_tt","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
"The Prestige","https://www.imdb.com/title/tt0482571/?ref_=adv_li_tt","After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
"The Departed","https://www.imdb.com/title/tt0407887/?ref_=adv_li_tt","An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston."
"The Pianist","https://www.imdb.com/title/tt0253474/?ref_=adv_li_tt","A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II."
"Gladiator","https://www.imdb.com/title/tt0172495/?ref_=adv_li_tt","A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery."
"American History X","https://www.imdb.com/title/tt0120586/?ref_=adv_li_tt","A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did."
"The Usual Suspects","https://www.imdb.com/title/tt0114814/?ref_=adv_li_tt","A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
"Léon: The Professional","https://www.imdb.com/title/tt0110413/?ref_=adv_li_tt","Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
"The Lion King","https://www.imdb.com/title/tt0110357/?ref_=adv_li_tt","A Lion cub crown prince is tricked by a treacherous uncle into thinking he caused his father's death and flees into exile in despair, only to learn in adulthood his identity and his responsibilities."
"Terminator 2: Judgment Day","https://www.imdb.com/title/tt0103064/?ref_=adv_li_tt","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg."
"Cinema Paradiso","https://www.imdb.com/title/tt0095765/?ref_=adv_li_tt","A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist."
"Grave of the Fireflies","https://www.imdb.com/title/tt0095327/?ref_=adv_li_tt","A young boy and his little sister struggle to survive in Japan during World War II."
"Back to the Future","https://www.imdb.com/title/tt0088763/?ref_=adv_li_tt","Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown."
"Once Upon a Time in the West","https://www.imdb.com/title/tt0064116/?ref_=adv_li_tt","A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad."
"High and Low","https://www.imdb.com/title/tt0057565/?ref_=adv_li_tt","An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom."
"Psycho","https://www.imdb.com/title/tt0054215/?ref_=adv_li_tt","A Phoenix secretary embezzles forty thousand dollars from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother."